flow_id,attribute,value,source,comment
miscanthus,energycontent_HHV,16377000 Btu/short_ton,Wang2023,
miscanthus,c-ratio,47.60%,Wang2023,
miscanthus,h-ratio,,,
miscanthus,o-ratio,,,
bio-char,name,Bio-Char,,
bio-char,default_unit,MWh;LHV,,
bio-char,energycontent_LHV,18916911 Btu/short_ton,Wang2023,
bio-char,energycontent_HHV,18916911 Btu/short_ton,Wang2023,
bio-char,c-ratio,51.20%,Wang2023,
bio-char,h-ratio,,,
bio-char,o-ratio,,,
ethyne,name,Ethyne,,
ethyne,default_unit,t,,
ethyne,energycontent_LHV,45935 Btu/kg,Wang2023,
ethyne,density_std,1.1772 kg/m^3,Franz2009,
ethyne,c-ratio,92.30%,Wang2023,
ethyne,h-ratio,,,
ethyne,o-ratio,,,
propyne,name,Propyne,,
propyne,default_unit,t,,
propyne,energycontent_LHV,43400 Btu/kg,Wang2023,
propyne,density_norm,1.6959 kg/m^3,Lemmon2023,
propyne,density_std,1.8300 kg/m^3,Lemmon2023,
propyne,c-ratio,90.00%,Wang2023,
propyne,h-ratio,10.00%,,
propyne,o-ratio,0.00%,,
butadiene,name,Butadiene,,
butadiene,default_unit,t,,
butadiene,energycontent_LHV,42285 Btu/kg,Wang2023,
butadiene,density_std,2.4982 kg/m^3,Franz2009,
butadiene,c-ratio,88.80%,Wang2023,
butadiene,h-ratio,11.20%,,
butadiene,o-ratio,0.00%,,
benzene,name,Benzene,,
benzene,default_unit,t,,
benzene,energycontent_LHV,38470 Btu/kg,Wang2023,
benzene,density_norm,878.92 kg/m^3,Lemmon2023,
benzene,c-ratio,92.20%,Wang2023,
benzene,h-ratio,7.80%,,
benzene,o-ratio,0.00%,,
toulene,name,Toulene,,
toulene,default_unit,t,,
toulene,energycontent_LHV,38957 Btu/kg,Wang2023,
toulene,density_norm,866.89 kg/m^3,Lemmon2023,
toulene,density_std,886.42 kg/m^3,Lemmon2023,
toulene,c-ratio,91.20%,Wang2023,
toulene,h-ratio,8.80%,,
toulene,o-ratio,0.00%,,
styrene,name,Styrene,,
styrene,default_unit,t,,
styrene,energycontent_LHV,37913 Btu/kg,Wang2023,
styrene,density_norm,0.91 g/cm^3,Molarne1991,
styrene,c-ratio,92.20%,Wang2023,
styrene,h-ratio,7.80%,,
styrene,o-ratio,0.00%,,
xylene,name,Xylene,,
xylene,default_unit,t,,
xylene,energycontent_LHV,39151 Btu/kg,Wang2023,
xylene,density_norm,0.865 g/cm^3,Molarne1991,
xylene,c-ratio,90.50%,Wang2023,
xylene,h-ratio,9.50%,,
xylene,o-ratio,0.00%,,
o-xylene,name,O-Xylene,,
o-xylene,default_unit,t,,
o-xylene,energycontent_LHV,39151 Btu/kg,Wang2023,
o-xylene,density_norm,0.88 g/cm^3,Molarne1991,
o-xylene,c-ratio,90.50%,Wang2023,
o-xylene,h-ratio,9.50%,,
o-xylene,o-ratio,0.00%,,
m-xylene,name,M-Xylene,,
m-xylene,default_unit,t,,
m-xylene,energycontent_LHV,39151 Btu/kg,Wang2023,
m-xylene,density_norm,0.86 g/cm^3,Molarne1991,
m-xylene,c-ratio,90.50%,Wang2023,
m-xylene,h-ratio,9.50%,,
m-xylene,o-ratio,0.00%,,
p-xylene,name,P-Xylene,,
p-xylene,default_unit,t,,
p-xylene,energycontent_LHV,39151 Btu/kg,Wang2023,
p-xylene,density_norm,0.86 g/cm^3,Molarne1991,
p-xylene,c-ratio,90.50%,Wang2023,
p-xylene,h-ratio,9.50%,,
p-xylene,o-ratio,0.00%,,
ethane,name,Ethane,,
ethane,default_unit,t,,
ethane,energycontent_LHV,45011 Btu/kg,Wang2023,
ethane,density_norm,1.2601 kg/m^3,Lemmon2023,
ethane,density_std,1.3550 kg/m^3,Lemmon2023,
ethane,c-ratio,79.90%,Wang2023,
ethane,h-ratio,20.10%,,
ethane,o-ratio,0.00%,,
ethylene,name,Ethylene,,
ethylene,default_unit,t,,
ethylene,energycontent_LHV,44695 Btu/kg,Wang2023,
ethylene,density_norm,1.1733 kg/m^3,Lemmon2023,
ethylene,density_std,1.2611 kg/m^3,Lemmon2023,
ethylene,c-ratio,85.60%,Wang2023,
ethylene,h-ratio,14.40%,,
ethylene,o-ratio,0.00%,,
propylene,name,Propylene,,
propylene,default_unit,t,,
propylene,energycontent_LHV,43400 Btu/kg,Wang2023,
propylene,density_norm,1.7763 kg/m^3,Lemmon2023,
propylene,density_std,1.9139 kg/m^3,Lemmon2023,
propylene,c-ratio,85.60%,Wang2023,
propylene,h-ratio,14.40%,,
propylene,o-ratio,0.00%,,
butatriene,name,Butatriene,,
butatriene,default_unit,t,,
butatriene,energycontent_LHV,42629 Btu/kg,Wang2023,
butatriene,c-ratio,92.30%,Wang2023,
butatriene,h-ratio,7.70%,,
butatriene,o-ratio,0.00%,,
