subtech,size,variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
SOEC,*,Output|Hydrogen,Input|Electricity,2040,24.6,,kg,1.0,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
SOEC,*,Output|Hydrogen,Input|Electricity,2050,25.1,0.5,kg,1.0,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
SOEC,*,Input|Heat,Input|Electricity,2020,20.5,2.0,pct MWh,79.5,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
SOEC,*,Input|Heat,Input|Electricity,2030,19.5,,pct MWh,80.5,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
SOEC,*,Input|Heat,Input|Electricity,2040,18.6,,pct MWh,81.4,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
SOEC,*,Input|Heat,Input|Electricity,2050,18.6,1.0,pct MWh,81.4,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
AEL,*,Input|Electricity,Output|Hydrogen,2020,48.3,,kWh,1.0,kg,,Holst21,"Table 3-2, Page 42"
AEL,*,Input|Electricity,Output|Hydrogen,2030,45.6,,kWh,1.0,kg,,Holst21,"Table 3-2, Page 42"
PEM,*,Input|Electricity,Output|Hydrogen,2020,51.0,,kWh,1.0,kg,,Holst21,"Table 3-7, Page 50"
PEM,*,Input|Electricity,Output|Hydrogen,2030,45.7,,kWh,1.0,kg,,Holst21,"Table 3-7, Page 50"
AEL,*,Input|Electricity,Output|Hydrogen,2030,50.35,1.85,kWh,1.0,kg,,IRENA22,"Footnote 12, Page 21"
AEL,*,Input|Electricity,Output|Hydrogen,2050,46.5,1.5,kWh,1.0,kg,,IRENA22,"Footnote 12, Page 21"
PEM,*,Input|Electricity,Output|Hydrogen,2021,54.2,,kWh,1.0,kg,"Based on life cycle inventory, from Ecoinvent v3.4",Al-Qahtani21,"Table 2, Page 3"
AEL,130000 Nm³/h,Input|Electricity,Output|Hydrogen,2020,5.45,0.45,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
PEM,130000 Nm³/h,Input|Electricity,Output|Hydrogen,2020,5.75,0.75,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|Electricity,Output|Hydrogen,2020,3.8,0.1,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|Heat,Output|Hydrogen,2020,0.7,,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 3, Page 1590 (5/10)"
AEL,130000 Nm³/h,Input|Electricity,Output|Hydrogen,2030,4.42,,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
PEM,130000 Nm³/h,Input|Electricity,Output|Hydrogen,2030,4.81,,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|Electricity,Output|Hydrogen,2030,3.55,,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|Heat,Output|Hydrogen,2030,0.7,,kWh,1.0,m**3;norm,Total system demand,Tenhumberg20,"Table 3, Page 1590 (5/10)"
AEL,*,Input|Electricity,Output|Hydrogen,2020,54.0,4.0,kWh,1.0,kg,,Yates20,"Table 3, Page 10"
PEM,*,Input|Water,Output|Hydrogen,2020,10.0,,kg,1.0,kg,"Based on life cycle inventory, from Ecoinvent v3.4",Al-Qahtani21,"Table 2, Page 3"
*,*,Input|Water,Output|Hydrogen,2021,9.0,,kg,1.0,kg,,IEA-GHR21,
AEL,*,Input|Water,Output|Hydrogen,2020,10.0,1.0,L;norm,1.0,kg,,Yates20,"Table 3, Page 10"
*,1 MW,Total Input Capacity|Electricity,,*,1.0,,MW,,,,*,
*,5 MW,Total Input Capacity|Electricity,,*,5.0,,MW,,,,*,
*,100 MW,Total Input Capacity|Electricity,,*,100.0,,MW,,,,*,
*,130000 Nm³/h,Total Output Capacity|Hydrogen,,*,130000.0,,m³/h;norm,,,,*,
