subtech,size,reported_variable,reference_variable,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
SOEC,*,Output|h2,Input|elec,2050,25.1,0.5,kg,1,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
SOEC,*,Input|heat,Input|elec,2020,20.5,2,pct MWh,79.5,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
SOEC,*,Input|heat,Input|elec,2030,19.5,,pct MWh,80.5,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
SOEC,*,Input|heat,Input|elec,2040,18.6,,pct MWh,81.4,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
SOEC,*,Input|heat,Input|elec,2050,18.6,1,pct MWh,81.4,pct MWh,,DEARF23,"Sheet 86 SOEC 1MW, Rows 9 and 10"
AEL,*,Input|elec,Output|h2,2020,48.3,,kWh,1,kg,,Holst21,"Table 3-2, Page 42"
AEL,*,Input|elec,Output|h2,2030,45.6,,kWh,1,kg,,Holst21,"Table 3-2, Page 42"
PEM,*,Input|elec,Output|h2,2020,51,,kWh,1,kg,,Holst21,"Table 3-7, Page 50"
PEM,*,Input|elec,Output|h2,2030,45.7,,kWh,1,kg,,Holst21,"Table 3-7, Page 50"
AEL,*,Input|elec,Output|h2,2030,50.35,1.85,kWh,1,kg,,IRENA22,"Footnote 12, Page 21"
AEL,*,Input|elec,Output|h2,2050,46.5,1.5,kWh,1,kg,,IRENA22,"Footnote 12, Page 21"
PEM,*,Input|elec,Output|h2,2021,54.2,,kWh,1,kg,"Based on life cycle inventory, from Ecoinvent v3.4",Al-Qahtani21,"Table 2, Page 3"
AEL,130000 Nm³/h,Input|elec,Output|h2,2020,5.45,0.45,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
PEM,130000 Nm³/h,Input|elec,Output|h2,2020,5.75,0.75,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|elec,Output|h2,2020,3.8,0.1,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|heat,Output|h2,2020,0.7,,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 3, Page 1590 (5/10)"
AEL,130000 Nm³/h,Input|elec,Output|h2,2030,4.42,,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
PEM,130000 Nm³/h,Input|elec,Output|h2,2030,4.81,,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|elec,Output|h2,2030,3.55,,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,Input|heat,Output|h2,2030,0.7,,kWh,1,m**3;norm,Total system demand,Tenhumberg20,"Table 3, Page 1590 (5/10)"
AEL,*,Input|elec,Output|h2,2020,54,4,kWh,1,kg,,Yates20,"Table 3, Page 10"
PEM,*,Input|water,Output|h2,2020,10,,kg,1,kg,"Based on life cycle inventory, from Ecoinvent v3.4",Al-Qahtani21,"Table 2, Page 3"
*,*,Input|water,Output|h2,2021,9,,kg,1,kg,,IEA-GHR21,
AEL,*,Input|water,Output|h2,2020,10,1,L;norm,1,kg,,Yates20,"Table 3, Page 10"
*,1 MW,Input Capacity|elec,,*,1,,MW,,,,*,
*,5 MW,Input Capacity|elec,,*,5,,MW,,,,*,
*,100 MW,Input Capacity|elec,,*,100,,MW,,,,*,
*,130000 Nm³/h,Output Capacity|h2,,*,130000,,m³/h;norm,,,,*,
