from,to,ft,factor
GWh;HHV,kWh;LHV,elec,1000000.000000000
GWh;HHV,kWh;HHV,elec,1000000.000000000
GWh;HHV,MJ,elec,3600000.000000000
GWh;HHV,MJ;LHV,elec,3600000.000000000
GWh;HHV,MJ;HHV,elec,3600000.000000000
GWh;HHV,GWh,elec,1.000000000
GWh;HHV,GWh;LHV,elec,1.000000000
GJ,GJ;LHV,heat,1.000000000
GJ,GJ;HHV,heat,1.000000000
GJ,MWh,heat,0.277777778
GJ,MWh;LHV,heat,0.277777778
GJ,MWh;HHV,heat,0.277777778
GJ,kWh,heat,277.777777778
GJ,kWh;LHV,heat,277.777777778
GJ,kWh;HHV,heat,277.777777778
GJ,MJ,heat,1000.000000000
GJ,MJ;LHV,heat,1000.000000000
GJ,MJ;HHV,heat,1000.000000000
GJ,GWh,heat,0.000277778
GJ,GWh;LHV,heat,0.000277778
GJ,GWh;HHV,heat,0.000277778
GJ;LHV,GJ,heat,1.000000000
GJ;LHV,GJ;HHV,heat,1.000000000
GJ;LHV,MWh,heat,0.277777778
GJ;LHV,MWh;LHV,heat,0.277777778
GJ;LHV,MWh;HHV,heat,0.277777778
GJ;LHV,kWh,heat,277.777777778
GJ;LHV,kWh;LHV,heat,277.777777778
GJ;LHV,kWh;HHV,heat,277.777777778
GJ;LHV,MJ,heat,1000.000000000
GJ;LHV,MJ;LHV,heat,1000.000000000
GJ;LHV,MJ;HHV,heat,1000.000000000
GJ;LHV,GWh,heat,0.000277778
GJ;LHV,GWh;LHV,heat,0.000277778
GJ;LHV,GWh;HHV,heat,0.000277778
GJ;HHV,GJ,heat,1.000000000
GJ;HHV,GJ;LHV,heat,1.000000000
GJ;HHV,MWh,heat,0.277777778
GJ;HHV,MWh;LHV,heat,0.277777778
GJ;HHV,MWh;HHV,heat,0.277777778
GJ;HHV,kWh,heat,277.777777778
GJ;HHV,kWh;LHV,heat,277.777777778
GJ;HHV,kWh;HHV,heat,277.777777778
GJ;HHV,MJ,heat,1000.000000000
GJ;HHV,MJ;LHV,heat,1000.000000000
GJ;HHV,MJ;HHV,heat,1000.000000000
GJ;HHV,GWh,heat,0.000277778
GJ;HHV,GWh;LHV,heat,0.000277778
GJ;HHV,GWh;HHV,heat,0.000277778
MWh,GJ,heat,3.600000000
MWh,GJ;LHV,heat,3.600000000
MWh,GJ;HHV,heat,3.600000000
MWh,MWh;LHV,heat,1.000000000
MWh,MWh;HHV,heat,1.000000000
MWh,kWh,heat,1000.000000000
MWh,kWh;LHV,heat,1000.000000000
MWh,kWh;HHV,heat,1000.000000000
MWh,MJ,heat,3600.000000000
MWh,MJ;LHV,heat,3600.000000000
MWh,MJ;HHV,heat,3600.000000000
MWh,GWh,heat,0.001000000
MWh,GWh;LHV,heat,0.001000000
MWh,GWh;HHV,heat,0.001000000
MWh;LHV,GJ,heat,3.600000000
MWh;LHV,GJ;LHV,heat,3.600000000
