from,to,ft,factor
pct kWh,pct MWh,,0.001000000
pct kWh,GWh,,0.000000010
pct kWh,MJ,,0.036000000
pct kWh,kWh,,0.010000000
pct kWh,MWh,,0.000010000
pct kWh,GJ,,0.000036000
pct kWh,kWh,,0.010000000
pct kWh,GJ,,0.000036000
pct kWh,MJ,,0.036000000
pct kWh,MWh,,0.000010000
pct kWh,pct MWh,,0.001000000
pct kWh,pct MWh,,0.001000000
pct kWh,GWh,,0.000000010
pct kWh,MJ,,0.036000000
pct kWh,kWh,,0.010000000
pct MWh,MWh,,0.010000000
pct MWh,GJ,,0.036000000
pct MWh,kWh,,10.000000000
pct MWh,GJ,,0.036000000
pct MWh,MJ,,36.000000000
pct MWh,MWh,,0.010000000
pct MWh,pct kWh,,1000.000000000
pct MWh,pct kWh,,1000.000000000
pct MWh,GWh,,0.000010000
pct MWh,MJ,,36.000000000
pct MWh,kWh,,10.000000000
m**3,m³,,1.000000000
m**3,L,,1000.000000000
L,m³,,0.001000000
L,m**3,,0.001000000
MW,kW,,1000.000000000
MW,GJ/a,,31536.000000000
MW,kW,,1000.000000000
MW,MWh/a,,8760.000000000
m³/h,m³/hour,,1.000000000
MUSD_2022,EUR_2013,,611076.200114401
MUSD_2022,MEUR_2020,,0.691700533
MUSD_2022,EUR,,552844.507710839
MUSD_2022,EUR_2020,,691700.533302817
MUSD_2022,USD_2021,,934533.362777747
MUSD_2022,EUR_2019,,679397.926207244
MUSD_2022,EUR_2015,,634091.955307152
MUSD_2022,MEUR_2015,,0.634091955
MUSD_2022,USD,,687788.638605174
MUSD_2022,kEUR,,552.844507711
MUSD_2022,MUSD,,0.687788639
MUSD_2022,EUR_2022,,751933.945383249
MUSD_2022,USD_2018,,867273.523102319
MUSD_2022,EUR_2014,,622551.843613126
MUSD_2022,EUR_2016,,642511.125337672
MUSD_2022,MEUR_2014,,0.622551844
MUSD_2022,EUR_2005,,552844.507710839
MUSD_2022,USD_2005,,687788.638605174
metric_ton/a,t/a,,1.000000000
metric_ton/a,Mt/a,,0.000001000
metric_ton/a,kg/d,,2.739726027
metric_ton/a,kilometric_ton/a,,0.001000000
metric_ton/a,kg/a,,1000.000000000
metric_ton/a,kg/day,,2.739726027
metric_ton/a,lb/hour,,0.251669249
metric_ton,t,,1.000000000
metric_ton,kg,,1000.000000000
metric_ton,kilometric_ton,,0.001000000
metric_ton,lb,,2204.622621849
year,hour,,8760.000000000
year,a,,1.000000000
EUR_2015,EUR_2013,,0.963702812
EUR_2015,MEUR_2020,,0.000001091
EUR_2015,EUR,,0.871868036
EUR_2015,EUR_2020,,1.090852088
EUR_2015,USD_2021,,1.473813624
EUR_2015,EUR_2019,,1.071450159
EUR_2015,MUSD_2022,,0.000001577
EUR_2015,MEUR_2015,,0.000001000
EUR_2015,USD,,1.084682802
EUR_2015,kEUR,,0.000871868
EUR_2015,MUSD,,0.000001085
EUR_2015,EUR_2022,,1.185843692
EUR_2015,USD_2018,,1.367740934
EUR_2015,EUR_2014,,0.981800571
EUR_2015,EUR_2016,,1.013277522
EUR_2015,MEUR_2014,,0.000000982
EUR_2015,EUR_2005,,0.871868036
EUR_2015,USD_2005,,1.084682802
MEUR_2015,EUR_2013,,963702.811555776
MEUR_2015,MEUR_2020,,1.090852088
MEUR_2015,EUR,,871868.035990211
MEUR_2015,EUR_2020,,1090852.087798150
MEUR_2015,USD_2021,,1473813.624279562
MEUR_2015,EUR_2019,,1071450.158799360
MEUR_2015,MUSD_2022,,1.577058330
MEUR_2015,EUR_2015,,1000000.000000000
MEUR_2015,USD,,1084682.801679785
MEUR_2015,kEUR,,871.868035990
MEUR_2015,MUSD,,1.084682802
MEUR_2015,EUR_2022,,1185843.692054120
MEUR_2015,USD_2018,,1367740.933855904
