source,source_detail,subtech,heat_source,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 7 (COP at nominal load)",heat-pump-60c,*,0.5-5 MW,2050,Output|Heat,Input|Electricity,5.66,,kWh,1,kWh,COP at 40 K temperature lift; heat sink up to 60°C
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 19 (Nominal investment)",heat-pump-60c,*,0.5-5 MW,2025,CAPEX,Output Capacity|Heat,0.95,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 19 (Nominal investment)",heat-pump-60c,*,0.5-5 MW,2030,CAPEX,Output Capacity|Heat,0.94,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 19 (Nominal investment)",heat-pump-60c,*,0.5-5 MW,2035,CAPEX,Output Capacity|Heat,0.91,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 19 (Nominal investment)",heat-pump-60c,*,0.5-5 MW,2040,CAPEX,Output Capacity|Heat,0.91,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 19 (Nominal investment)",heat-pump-60c,*,0.5-5 MW,2050,CAPEX,Output Capacity|Heat,0.89,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 22 (Fixed O&M costs)",heat-pump-60c,*,0.5-5 MW,2025,OPEX Fixed,Output Capacity|Heat,2127,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 22 (Fixed O&M costs)",heat-pump-60c,*,0.5-5 MW,2030,OPEX Fixed,Output Capacity|Heat,2095,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 22 (Fixed O&M costs)",heat-pump-60c,*,0.5-5 MW,2035,OPEX Fixed,Output Capacity|Heat,2032,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 22 (Fixed O&M costs)",heat-pump-60c,*,0.5-5 MW,2040,OPEX Fixed,Output Capacity|Heat,2032,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 22 (Fixed O&M costs)",heat-pump-60c,*,0.5-5 MW,2050,OPEX Fixed,Output Capacity|Heat,2001,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 23 (Variable O&M costs)",heat-pump-60c,*,0.5-5 MW,2025,OPEX Variable,Output|Heat,3.07,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 23 (Variable O&M costs)",heat-pump-60c,*,0.5-5 MW,2030,OPEX Variable,Output|Heat,3.02,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
