source,source_detail,subtech,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
Holst-2021,"Table 3-5, Page 47",AEL,5 MW,2020,Input|Electricity,Output|Hydrogen,52.8,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-5, Page 47",AEL,5 MW,2030,Input|Electricity,Output|Hydrogen,48.9,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-5, Page 47",AEL,100 MW,2020,Input|Electricity,Output|Hydrogen,53.4,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-5, Page 47",AEL,100 MW,2030,Input|Electricity,Output|Hydrogen,49.4,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,5 MW,2020,Input|Electricity,Output|Hydrogen,54.5,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,5 MW,2030,Input|Electricity,Output|Hydrogen,47.6,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,100 MW,2020,Input|Electricity,Output|Hydrogen,55.1,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,100 MW,2030,Input|Electricity,Output|Hydrogen,48.1,,kWh,1,kg_H2,At system level (not stack level).
Holst-2021,"Table 3-5, Page 47",AEL,5 MW,2020,Input Capacity|Water,Input Capacity|Electricity,958,,kg_H2O/h,5.5,MW,At system level (not stack level).
Holst-2021,"Table 3-5, Page 47",AEL,5 MW,2030,Input Capacity|Water,Input Capacity|Electricity,1032,,kg_H2O/h,5.5,MW,At system level (not stack level).
Holst-2021,"Table 3-5, Page 47",AEL,100 MW,2020,Input Capacity|Water,Input Capacity|Electricity,19152,,kg_H2O/h,110.4,MW,At system level (not stack level).
Holst-2021,"Table 3-5, Page 47",AEL,100 MW,2030,Input Capacity|Water,Input Capacity|Electricity,20638,,kg_H2O/h,110.1,MW,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,5 MW,2020,Input Capacity|Water,Input Capacity|Electricity,896,,kg_H2O/h,5.4,MW,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,5 MW,2030,Input Capacity|Water,Input Capacity|Electricity,1005,,kg_H2O/h,5.3,MW,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,100 MW,2020,Input Capacity|Water,Input Capacity|Electricity,17930,,kg_H2O/h,108.5,MW,At system level (not stack level).
Holst-2021,"Table 3-10, Page 55",PEM,100 MW,2030,Input Capacity|Water,Input Capacity|Electricity,20095,,kg_H2O/h,106.1,MW,At system level (not stack level).
Holst-2021,"Tables 3-5 and 3-10, Pages 47 and 55","AEL, PEM",5 MW,*,Total Input Capacity|Electricity,,5,,MW,,,
Holst-2021,"Tables 3-5 and 3-10, Pages 47 and 55","AEL, PEM",100 MW,*,Total Input Capacity|Electricity,,100,,MW,,,
IRENA-2022,Page 23,AEL,N/S,2030,CAPEX,Input Capacity|Electricity,536,152,USD_2021,1,kW,
IRENA-2022,Page 23,AEL,N/S,2050,CAPEX,Input Capacity|Electricity,230,96,USD_2021,1,kW,
IRENA-2022,"Footnote 12, Page 21",AEL,N/S,2030,Input|Electricity,Output|Hydrogen,50.35,1.85,kWh,1,kg_H2,
IRENA-2022,"Footnote 12, Page 21",AEL,N/S,2050,Input|Electricity,Output|Hydrogen,46.5,1.5,kWh,1,kg_H2,
Tenhumberg-2020,"Table 2, Page 1588 (3/10)",AEL,N/S,2020,CAPEX,Input Capacity|Electricity,1150,350,EUR_2019,1,kW,Reported as range with 800 as lower and 1500 as upper threshold.
Tenhumberg-2020,"Supplement, Table S2, Page 3",AEL,N/S,2030,CAPEX,Input Capacity|Electricity,450,,EUR_2019,1,kW,
Tenhumberg-2020,"Table 2, Page 1588 (3/10)",PEM,N/S,2020,CAPEX,Input Capacity|Electricity,1750,350,EUR_2019,1,kW,Reported as range with 1400 as lower and 2100 as upper threshold.
Tenhumberg-2020,"Supplement, Table S2, Page 3",PEM,N/S,2030,CAPEX,Input Capacity|Electricity,810,,EUR_2019,1,kW,
Tenhumberg-2020,"Table 2, Page 1588 (3/10)",SOEC,N/S,2020,CAPEX,Input Capacity|Electricity,2000,,EUR_2019,1,kW,Reported as range with 2000 as lower threshold.
Tenhumberg-2020,"Supplement, Table S2, Page 3",SOEC,N/S,2030,CAPEX,Input Capacity|Electricity,800,,EUR_2019,1,kW,
Tenhumberg-2020,"Table 2, Page 1588 (3/10)",AEL,N/S,2020,Input|Electricity,Output|Hydrogen,5.45,0.45,kWh,1,cubic_meter_H2_norm,At system level (not stack level). Reported as range with 5.0 as lower and 5.9 as upper threshold.
Tenhumberg-2020,"Table 2, Page 1588 (3/10)",PEM,N/S,2020,Input|Electricity,Output|Hydrogen,5.75,0.75,kWh,1,cubic_meter_H2_norm,At system level (not stack level). Reported as range with 5.0 as lower and 6.5 as upper threshold.
Tenhumberg-2020,"Table 2, Page 1588 (3/10)",SOEC,N/S,2020,Input|Electricity,Output|Hydrogen,3.8,0.1,kWh,1,cubic_meter_H2_norm,At system level (not stack level). Reported as range with 3.7 as lower and 3.9 as upper threshold.
Tenhumberg-2020,"Table 3, Page 1590 (5/10)",SOEC,N/S,2020,Input|Heat,Output|Hydrogen,0.7,,kWh,1,cubic_meter_H2_norm,Assuming SOEC types II and III. At system level (not stack level).
Vartiainen-2022,"Page 4, Figure 4",AEL,100 MW,2020,CAPEX,Input Capacity|Electricity,400,0,EUR_2020,1,kW,
Vartiainen-2022,"Page 4, Figure 4",AEL,100 MW,2030,CAPEX,Input Capacity|Electricity,240,50,EUR_2020,1,kW,
Vartiainen-2022,"Page 4, Figure 4",AEL,100 MW,2040,CAPEX,Input Capacity|Electricity,140,75,EUR_2020,1,kW,
Vartiainen-2022,"Page 4, Figure 4",AEL,100 MW,2050,CAPEX,Input Capacity|Electricity,80,75,EUR_2020,1,kW,
Vartiainen-2022,Page 4,AEL,100 MW,2020,OPEX Fixed,Input Capacity|Electricity,6,,EUR_2020/year,1,kW,1.5% of CAPEX; reported in units of electric capacity
Vartiainen-2022,Page 4,AEL,100 MW,2030,OPEX Fixed,Input Capacity|Electricity,2.1,,EUR_2020/year,1,kW,10% LR decrease
Vartiainen-2022,Page 4,AEL,100 MW,2040,OPEX Fixed,Input Capacity|Electricity,0.73,,EUR_2020/year,1,kW,10% LR decrease
Vartiainen-2022,Page 4,AEL,100 MW,2050,OPEX Fixed,Input Capacity|Electricity,0.25,,EUR_2020/year,1,kW,10% LR decrease
Vartiainen-2022,Page 4,AEL,100 MW,2020,Output|Hydrogen,Input|Electricity,67,,percent kWh_H2_LHV,100,percent kWh,1.5% of CAPEX; reported in units of electric capacity; 67% assumes the LHV
Vartiainen-2022,Page 4,AEL,100 MW,2030,Output|Hydrogen,Input|Electricity,70,,percent kWh_H2_LHV,100,percent kWh,10% LR decrease
Vartiainen-2022,Page 4,AEL,100 MW,2040,Output|Hydrogen,Input|Electricity,73,,percent kWh_H2_LHV,100,percent kWh,10% LR decrease
Vartiainen-2022,Page 4,AEL,100 MW,2050,Output|Hydrogen,Input|Electricity,76,,percent kWh_H2_LHV,100,percent kWh,10% LR decrease
